id,post_id,metric_value,timestamp,media_type
1,18276775426216214,10988,2024-12-02T00:49:31+0000,IMAGE
2,18050446366968837,16977,2024-11-28T16:21:57+0000,IMAGE
3,18098071018470047,11615,2024-11-27T23:41:46+0000,CAROUSEL_ALBUM
4,18093455356496216,14060,2024-11-26T23:55:26+0000,CAROUSEL_ALBUM
5,18076066087597873,15525,2024-11-25T23:12:28+0000,CAROUSEL_ALBUM
6,18043121780150631,21665,2024-11-24T23:36:26+0000,CAROUSEL_ALBUM
7,17967652967688354,15739,2024-11-23T23:03:00+0000,CAROUSEL_ALBUM
8,18027505967593552,35723,2024-11-23T22:31:44+0000,CAROUSEL_ALBUM
9,17951789570855085,13346,2024-11-23T15:03:02+0000,IMAGE
10,18046335419101250,15820,2024-11-21T02:44:41+0000,CAROUSEL_ALBUM
11,17944897718911684,13734,2024-11-16T21:45:48+0000,CAROUSEL_ALBUM
12,18123410530401452,17268,2024-11-16T07:14:38+0000,IMAGE
13,17968785782802084,13202,2024-11-15T19:01:52+0000,CAROUSEL_ALBUM
14,18041072717271506,0,2024-11-12T22:40:52+0000,VIDEO
15,18008927984653920,17549,2024-11-09T23:21:01+0000,CAROUSEL_ALBUM
16,18050641735803631,12774,2024-11-08T15:55:33+0000,CAROUSEL_ALBUM
17,18462717898047193,0,2024-11-08T01:22:50+0000,VIDEO
18,18280965127173329,13332,2024-11-06T15:22:13+0000,IMAGE
19,17859841263224240,18454,2024-11-03T23:00:07+0000,CAROUSEL_ALBUM
20,18359300683141642,13753,2024-11-02T15:56:23+0000,CAROUSEL_ALBUM
21,17850470724288192,16278,2024-11-01T16:38:18+0000,CAROUSEL_ALBUM
22,18021856805575156,0,2024-10-31T15:29:50+0000,VIDEO
23,18052520197928870,0,2024-10-29T15:18:59+0000,VIDEO
24,18043965680485689,23362,2024-10-27T03:30:38+0000,CAROUSEL_ALBUM
25,17922437984978823,15564,2024-10-27T03:24:48+0000,IMAGE
1,17903419932059033,14018,2024-10-26T17:33:42+0000,CAROUSEL_ALBUM
2,18034036715069630,0,2024-10-25T17:27:17+0000,VIDEO
3,17957323145828289,14265,2024-10-24T21:07:39+0000,CAROUSEL_ALBUM
4,18050899669764640,19123,2024-10-24T14:30:50+0000,CAROUSEL_ALBUM
5,17922705323878829,12259,2024-10-24T01:03:46+0000,CAROUSEL_ALBUM
6,17885121576131228,12556,2024-10-23T15:35:10+0000,IMAGE
7,18066870328643234,14171,2024-10-22T21:06:29+0000,CAROUSEL_ALBUM
8,17994379028543700,14802,2024-10-22T17:47:26+0000,CAROUSEL_ALBUM
9,17967952778798300,23626,2024-10-21T16:32:42+0000,CAROUSEL_ALBUM
10,17881815978076082,20411,2024-10-20T17:05:32+0000,CAROUSEL_ALBUM
11,17980028459766000,0,2024-10-20T15:32:09+0000,VIDEO
12,18028672826373820,0,2024-10-20T00:30:00+0000,VIDEO
13,18029618597111994,13166,2024-10-18T17:46:53+0000,CAROUSEL_ALBUM
14,18028865291121087,20308,2024-10-18T16:39:07+0000,CAROUSEL_ALBUM
15,17860777743205382,9421,2024-10-18T14:19:36+0000,CAROUSEL_ALBUM
16,17875874094181601,0,2024-10-16T00:24:47+0000,VIDEO
17,17932926989928741,16690,2024-10-14T20:12:00+0000,CAROUSEL_ALBUM
18,18043679735081236,18141,2024-10-13T22:27:38+0000,CAROUSEL_ALBUM
19,17892110469093984,15415,2024-10-12T21:18:06+0000,CAROUSEL_ALBUM
20,18285861613237187,20120,2024-10-11T21:41:54+0000,CAROUSEL_ALBUM
21,17972195132786299,20038,2024-10-11T00:58:04+0000,CAROUSEL_ALBUM
22,18040062562929933,15050,2024-10-09T22:42:30+0000,CAROUSEL_ALBUM
23,17845016283323903,0,2024-10-08T14:30:00+0000,VIDEO
24,18466052014036899,17724,2024-10-08T00:00:00+0000,CAROUSEL_ALBUM
25,18133686559363617,11512,2024-10-08T00:00:00+0000,CAROUSEL_ALBUM
1,18103409407443355,8513,2024-10-07T22:41:42+0000,CAROUSEL_ALBUM
2,17967575114668454,0,2024-10-07T01:20:15+0000,VIDEO
3,18031985000196503,13443,2024-10-05T22:57:05+0000,CAROUSEL_ALBUM
4,17903434865961149,0,2024-10-05T21:30:39+0000,VIDEO
5,18254649745266007,10276,2024-10-05T00:13:21+0000,CAROUSEL_ALBUM
6,18058011283775719,16749,2024-10-04T22:45:46+0000,CAROUSEL_ALBUM
7,17905651692041748,0,2024-10-04T20:39:21+0000,VIDEO
8,18042446465089890,15080,2024-10-04T00:24:41+0000,CAROUSEL_ALBUM
9,17931064712938836,10080,2024-10-04T00:24:18+0000,CAROUSEL_ALBUM
10,18022947032452926,9956,2024-10-04T00:23:54+0000,CAROUSEL_ALBUM
11,18026685827136495,7957,2024-10-03T23:04:09+0000,CAROUSEL_ALBUM
12,18076555711551536,14537,2024-10-03T01:45:35+0000,IMAGE
13,17852378043292283,15492,2024-10-02T01:46:26+0000,CAROUSEL_ALBUM
14,18093403339482350,26430,2024-10-02T01:45:00+0000,CAROUSEL_ALBUM
15,18033988139010746,15402,2024-10-02T01:45:00+0000,CAROUSEL_ALBUM
16,17925947951848832,18882,2024-10-02T01:45:00+0000,CAROUSEL_ALBUM
17,17864955705164899,12597,2024-10-02T01:45:00+0000,CAROUSEL_ALBUM
18,18042036413103122,11240,2024-10-01T20:34:12+0000,IMAGE
19,17867620518146084,20533,2024-10-01T14:46:48+0000,CAROUSEL_ALBUM
20,18061198117665841,24597,2024-09-30T17:42:45+0000,CAROUSEL_ALBUM
21,18049742437926495,16013,2024-09-30T15:01:14+0000,CAROUSEL_ALBUM
22,18109099036421636,0,2024-09-30T01:03:16+0000,VIDEO
23,18139825840355969,0,2024-09-29T17:57:27+0000,VIDEO
24,18021405680231834,0,2024-09-29T16:58:28+0000,VIDEO
25,18331260751145512,13654,2024-09-28T23:49:37+0000,CAROUSEL_ALBUM
1,17891699412087464,12669,2024-09-28T23:26:35+0000,CAROUSEL_ALBUM
2,17961223904808090,7400,2024-09-28T20:45:32+0000,IMAGE
3,18147804565328224,0,2024-09-28T19:53:25+0000,VIDEO
4,18048951283927886,6769,2024-09-28T00:19:30+0000,IMAGE
5,18144771676337569,11839,2024-09-27T23:43:55+0000,IMAGE
6,18053169730861907,11445,2024-09-27T19:25:07+0000,CAROUSEL_ALBUM
7,18020313047447321,13331,2024-09-27T18:56:34+0000,IMAGE
8,17934017429801456,0,2024-09-26T16:47:18+0000,VIDEO
9,18198095023292316,0,2024-09-25T15:21:57+0000,VIDEO
10,18054895822818259,14381,2024-09-24T01:13:47+0000,CAROUSEL_ALBUM
11,18141254368349326,0,2024-09-22T20:33:18+0000,VIDEO
12,18034268857996797,17126,2024-09-21T21:37:25+0000,CAROUSEL_ALBUM
13,18311979736094224,0,2024-09-21T21:07:10+0000,VIDEO
14,18038943272120820,13802,2024-09-21T20:34:33+0000,CAROUSEL_ALBUM
15,18058441549689431,27510,2024-09-21T15:00:17+0000,IMAGE
16,18030736307201609,13578,2024-09-20T22:58:07+0000,CAROUSEL_ALBUM
17,18074641987499281,0,2024-09-20T19:24:59+0000,VIDEO
18,18018361211613603,15490,2024-09-19T19:32:32+0000,IMAGE
19,18139041793347863,12504,2024-09-18T23:03:33+0000,IMAGE
20,18068047951544998,10060,2024-09-18T19:36:39+0000,CAROUSEL_ALBUM
21,17988654524557731,12511,2024-09-17T19:06:06+0000,CAROUSEL_ALBUM
