timestamp,id,post_id,likes,comments,shares,contains_emoji,does_not_contain_emoji,contains_hashtag,accounts_reached,followers_gained,engagement_rate,hashtag_count,year,month,week,day,hour,caption_length,day_of_week,media_type_VIDEO,media_type_CAROUSEL,media_type_PHOTO,day_posted_monday,day_posted_tuesday,day_posted_wednesday,day_posted_thursday,day_posted_friday,day_posted_saturday,day_posted_sunday
2022-12-24 20:17:45+00:00,5,17984233804780098,0.0186261304598807,0.018691588785046728,0.000105290866017373,0,1,1,0.03659597124855799,0.0,0.26978154593520226,0.3333333333333333,2022,12,51,24,20,0.05333333333333333,6,0,0,0,0,0,0,0,0,1,0
2022-12-25 19:33:18+00:00,4,18012009793500627,0.013969597844910525,0.004672897196261682,0.0,0,1,1,0.030118022894666783,0.0,0.26146982451300754,0.3333333333333333,2022,12,51,25,19,0.13066666666666665,7,0,0,0,0,0,0,0,0,0,1
2022-12-27 02:18:35+00:00,3,18041645797398660,0.006388300942851645,0.0,5.26454330086865e-05,0,1,1,0.0,0.0,0.03947792432608363,0.3333333333333333,2022,12,52,27,2,0.048,2,1,0,0,0,1,0,0,0,0,0
2022-12-27 21:21:09+00:00,2,17976043120924705,0.013950355974600733,0.0,0.000105290866017373,0,1,1,0.03295767148815334,0.0,0.23808612023204617,0.6666666666666666,2022,12,52,27,21,0.05333333333333333,2,0,0,0,0,1,0,0,0,0,0
2022-12-28 23:47:25+00:00,1,17937988115579175,0.00692707331152588,0.02803738317757009,5.26454330086865e-05,0,1,1,0.0,0.0,0.03947792432608363,0.3333333333333333,2022,12,52,28,23,0.04533333333333334,3,1,0,0,0,0,1,0,0,0,0
2022-12-29 23:25:58+00:00,25,17946961130303960,0.02085818741581682,0.014018691588785045,0.00026322716504343247,0,1,1,0.045753837962552134,0.0,0.23532932596073927,0.3333333333333333,2022,12,52,29,23,0.08533333333333333,4,0,0,0,0,0,0,1,0,0,0
2022-12-31 02:19:55+00:00,24,17984605681799959,0.009486242062728498,0.014018691588785045,0.0019478810213214004,0,1,1,0.0,0.0,0.03947792432608363,0.3333333333333333,2022,12,52,31,2,0.08,6,1,0,0,0,0,0,0,0,1,0
2023-01-01 01:07:12+00:00,23,17958393617196835,0.017894939388108523,0.018691588785046728,0.005475125032903396,1,0,1,0.1761646996184222,0.1111111111111111,0.05121191647787118,0.3333333333333333,2023,1,52,1,1,0.12266666666666666,7,0,0,0,0,0,0,0,0,0,1
2023-01-02 00:20:50+00:00,22,17964997598300748,0.013045988070040407,0.004672897196261682,0.0006843906291129245,1,0,1,0.0,0.0,0.03947792432608363,0.3333333333333333,2023,1,1,2,0,0.17333333333333334,1,1,0,0,1,0,0,0,0,0,0
2023-01-04 01:26:54+00:00,21,17954813813170470,0.012064652684240907,0.0,0.004001052908660174,0,1,1,0.19574052710977016,0.027777777777777776,0.03080807212727269,0.6666666666666666,2023,1,1,4,1,0.05333333333333333,3,0,0,0,0,0,1,0,0,0,0
2023-01-04 21:50:23+00:00,20,18309617407079213,0.008966711564364056,0.004672897196261682,0.0028954988154777576,0,1,1,0.19304286094595793,0.0,0.0235489113302675,0.3333333333333333,2023,1,1,4,21,0.104,3,0,0,0,0,0,1,0,0,0,0
2023-01-06 02:27:21+00:00,19,18265426612114687,0.02957475466615355,0.03271028037383177,0.003948407475651487,1,0,1,0.22065844351761468,0.05555555555555555,0.06086764956511003,0.3333333333333333,2023,1,1,6,2,0.1413333333333333,5,0,0,0,0,0,0,0,1,0,0
2023-01-07 00:22:35+00:00,18,18237736639157404,0.02339811429670964,0.02803738317757009,0.007580942353250856,1,0,1,0.0,0.0,0.03947792432608363,0.3333333333333333,2023,1,1,7,0,0.032,6,1,0,0,0,0,0,0,0,1,0
2023-01-07 21:28:08+00:00,17,17989168309690074,0.016721185299211086,0.004672897196261682,0.004790734403790471,0,1,1,0.19829621084390806,0.05555555555555555,0.04114617886902853,0.3333333333333333,2023,1,1,7,21,0.07733333333333334,6,0,0,0,0,0,0,0,0,1,0
2023-01-08 22:41:31+00:00,16,17996214205625161,0.019992303251876085,0.02336448598130841,0.005527770465912082,1,0,1,0.20752506877273938,0.027777777777777776,0.046438622473893486,0.3333333333333333,2023,1,1,8,22,0.039999999999999994,7,0,0,0,0,0,0,0,0,0,1
2023-01-09 22:32:11+00:00,15,17993977339648002,0.009293823359630556,0.0,5.26454330086865e-05,0,1,1,0.0,0.0,0.03947792432608363,0.3333333333333333,2023,1,2,9,22,0.055999999999999994,1,1,0,0,1,0,0,0,0,0,0
2023-01-11 19:21:51+00:00,14,17973628075967576,0.014700788916682703,0.004672897196261682,0.004632798104764412,0,1,1,0.0,0.0,0.03947792432608363,0.3333333333333333,2023,1,2,11,19,0.050666666666666665,3,1,0,0,0,0,1,0,0,0,0
2023-01-12 18:32:07+00:00,13,17968264226104059,0.01918414469886473,0.06542056074766354,0.005159252434851277,0,1,1,0.22213151122548583,0.0,0.04122875072852981,0.3333333333333333,2023,1,2,12,18,0.072,4,0,0,0,0,0,0,1,0,0,0
2023-01-13 22:29:40+00:00,12,18021512953474053,0.00865884163940735,0.009345794392523364,0.001579362990260595,0,1,1,0.1852515751175792,0.0,0.023154050987958724,0.3333333333333333,2023,1,2,13,22,0.04266666666666667,5,0,0,0,0,0,0,0,1,0,0
2023-01-15 00:25:54+00:00,11,17900479667721703,0.020704252453338463,0.09345794392523364,0.024427480916030534,0,1,1,0.0,0.0,0.03947792432608363,0.3333333333333333,2023,1,2,15,0,0.1413333333333333,7,1,0,0,0,0,0,0,0,0,1
2023-01-15 20:45:25+00:00,10,18335391664029081,0.019299595920723493,0.06074766355140186,0.004001052908660174,0,1,1,0.22559233294879757,0.08333333333333333,0.03981478556676538,0.3333333333333333,2023,1,2,15,20,0.13866666666666666,7,0,0,0,0,0,0,0,0,0,1
2023-01-16 21:30:58+00:00,9,17876047223807270,0.021454685395420434,0.004672897196261682,0.00826533298236378,0,1,1,0.2450084302067619,0.25,0.042040923433893734,0.3333333333333333,2023,1,3,16,21,0.039999999999999994,1,0,0,0,1,0,0,0,0,0,0
2023-01-17 22:59:08+00:00,8,18338062618036727,0.012776601885703292,0.0,0.0031060805475125034,0,1,1,0.19873990593664034,0.0,0.031033516517836916,0.6666666666666666,2023,1,3,17,22,0.11733333333333333,2,0,0,0,0,1,0,0,0,0,0
2023-01-18 23:07:06+00:00,7,17950212857290030,0.011237252260919763,0.0,0.000842326928138984,0,1,1,0.0,0.0,0.03947792432608363,0.3333333333333333,2023,1,3,18,23,0.10933333333333332,3,1,0,0,0,0,1,0,0,0,0
