,MAE,MSE,R2
Random Forest,0.007725442047689476,0.00017813292554980258,0.9375049914630167
XGBoost,0.0046951245701376074,6.75829471184081e-05,0.9762896340242356
Gradient Boosting,0.007151245879745337,0.00011480650533976756,0.9597220249475774
