id,post_id,likes,comments,shares,contains_emoji,does_not_contain_emoji,contains_hashtag,accounts_reached,followers_gained,hashtag_count,year,month,week,day,hour,caption_length,day_of_week,media_type_VIDEO,media_type_CAROUSEL,media_type_PHOTO,day_posted_monday,day_posted_tuesday,day_posted_wednesday,day_posted_thursday,day_posted_friday,day_posted_saturday,day_posted_sunday
25,17946961130303960,0.0208581874158168,0.014018691588785,0.0002632271650434,0,1,1,0.0457538379625521,0.0,0.3333333333333333,2022,12,52,29,23,0.0853333333333333,4,0,0,0,0,0,0,1,0,0,0
24,17984605681799959,0.0094862420627284,0.014018691588785,0.0019478810213214,0,1,1,0.0,0.0,0.3333333333333333,2022,12,52,31,2,0.08,6,1,0,0,0,0,0,0,0,1,0
23,17958393617196835,0.0178949393881085,0.0186915887850467,0.0054751250329033,1,0,1,0.1761646996184222,0.1111111111111111,0.3333333333333333,2023,1,52,1,1,0.1226666666666666,7,0,0,0,0,0,0,0,0,0,1
22,17964997598300748,0.0130459880700404,0.0046728971962616,0.0006843906291129,1,0,1,0.0,0.0,0.3333333333333333,2023,1,1,2,0,0.1733333333333333,1,1,0,0,1,0,0,0,0,0,0
21,17954813813170470,0.0120646526842409,0.0,0.0040010529086601,0,1,1,0.1957405271097701,0.0277777777777777,0.6666666666666666,2023,1,1,4,1,0.0533333333333333,3,0,0,0,0,0,1,0,0,0,0
20,18309617407079213,0.008966711564364,0.0046728971962616,0.0028954988154777,0,1,1,0.1930428609459579,0.0,0.3333333333333333,2023,1,1,4,21,0.104,3,0,0,0,0,0,1,0,0,0,0
19,18265426612114687,0.0295747546661535,0.0327102803738317,0.0039484074756514,1,0,1,0.2206584435176146,0.0555555555555555,0.3333333333333333,2023,1,1,6,2,0.1413333333333333,5,0,0,0,0,0,0,0,1,0,0
18,18237736639157404,0.0233981142967096,0.02803738317757,0.0075809423532508,1,0,1,0.0,0.0,0.3333333333333333,2023,1,1,7,0,0.032,6,1,0,0,0,0,0,0,0,1,0
17,17989168309690074,0.016721185299211,0.0046728971962616,0.0047907344037904,0,1,1,0.198296210843908,0.0555555555555555,0.3333333333333333,2023,1,1,7,21,0.0773333333333333,6,0,0,0,0,0,0,0,0,1,0
16,17996214205625161,0.019992303251876,0.0233644859813084,0.005527770465912,1,0,1,0.2075250687727393,0.0277777777777777,0.3333333333333333,2023,1,1,8,22,0.0399999999999999,7,0,0,0,0,0,0,0,0,0,1
15,17993977339648002,0.0092938233596305,0.0,5.26454330086865e-05,0,1,1,0.0,0.0,0.3333333333333333,2023,1,2,9,22,0.0559999999999999,1,1,0,0,1,0,0,0,0,0,0
14,17973628075967576,0.0147007889166827,0.0046728971962616,0.0046327981047644,0,1,1,0.0,0.0,0.3333333333333333,2023,1,2,11,19,0.0506666666666666,3,1,0,0,0,0,1,0,0,0,0
13,17968264226104059,0.0191841446988647,0.0654205607476635,0.0051592524348512,0,1,1,0.2221315112254858,0.0,0.3333333333333333,2023,1,2,12,18,0.072,4,0,0,0,0,0,0,1,0,0,0
12,18021512953474053,0.0086588416394073,0.0093457943925233,0.0015793629902605,0,1,1,0.1852515751175792,0.0,0.3333333333333333,2023,1,2,13,22,0.0426666666666666,5,0,0,0,0,0,0,0,1,0,0
11,17900479667721703,0.0207042524533384,0.0934579439252336,0.0244274809160305,0,1,1,0.0,0.0,0.3333333333333333,2023,1,2,15,0,0.1413333333333333,7,1,0,0,0,0,0,0,0,0,1
10,18335391664029081,0.0192995959207234,0.0607476635514018,0.0040010529086601,0,1,1,0.2255923329487975,0.0833333333333333,0.3333333333333333,2023,1,2,15,20,0.1386666666666666,7,0,0,0,0,0,0,0,0,0,1
9,17876047223807270,0.0214546853954204,0.0046728971962616,0.0082653329823637,0,1,1,0.2450084302067619,0.25,0.3333333333333333,2023,1,3,16,21,0.0399999999999999,1,0,0,0,1,0,0,0,0,0,0
8,18338062618036727,0.0127766018857032,0.0,0.0031060805475125,0,1,1,0.1987399059366403,0.0,0.6666666666666666,2023,1,3,17,22,0.1173333333333333,2,0,0,0,0,1,0,0,0,0,0
7,17950212857290030,0.0112372522609197,0.0,0.0008423269281389,0,1,1,0.0,0.0,0.3333333333333333,2023,1,3,18,23,0.1093333333333333,3,1,0,0,0,0,1,0,0,0,0
6,18008622781535569,0.0211275736001539,0.0233644859813084,0.0021584627533561,0,1,1,0.206406957139054,0.0277777777777777,0.3333333333333333,2023,1,3,19,23,0.0506666666666666,4,0,0,0,0,0,0,1,0,0,0
5,17995154986639120,0.0143544352511064,0.0327102803738317,0.0041589892076862,1,0,1,0.214943650723223,0.0,0.3333333333333333,2023,1,3,20,20,0.0586666666666666,5,0,0,0,0,0,0,0,1,0,0
4,18021149353484184,0.0328843563594381,0.0186915887850467,0.0137931034482758,0,1,1,0.0,0.0,0.3333333333333333,2023,1,3,22,0,0.0533333333333333,7,1,0,0,0,0,0,0,0,0,1
3,18001671589579897,0.0177987300365595,0.02803738317757,0.0051066070018425,0,1,1,0.2416185996982873,0.25,0.3333333333333333,2023,1,3,22,20,0.0906666666666666,7,0,0,0,0,0,0,0,0,0,1
2,17976372211954946,0.0218587646719261,0.02803738317757,0.0175309291918926,0,1,1,0.2729079776377673,0.1388888888888889,0.3333333333333333,2023,1,4,23,21,0.1013333333333333,1,0,0,0,1,0,0,0,0,0,0
1,18161322310276287,0.0109871079468924,0.0233644859813084,0.0060015793629902,0,1,1,0.2054485757387523,0.0,0.3333333333333333,2023,1,4,24,20,0.0773333333333333,2,0,0,0,0,1,0,0,0,0,0
25,17979922921900527,0.0179334231287281,0.0514018691588785,0.0073703606212161,0,1,1,0.2282190078977726,0.0,0.3333333333333333,2023,1,4,25,21,0.144,3,0,0,0,0,0,1,0,0,0,0
24,17844833918918933,0.0255724456417163,0.014018691588785,0.0108976046327981,0,1,1,0.244405004880646,0.0277777777777777,0.3333333333333333,2023,1,4,26,22,0.1093333333333333,4,0,0,0,0,0,0,1,0,0,0
23,17988189367763906,0.0131421974215893,0.0093457943925233,0.0007370360621216,0,1,1,0.0,0.0,0.3333333333333333,2023,1,4,28,2,0.112,6,1,0,0,0,0,0,0,0,1,0
22,17958341789158114,0.0399653646334423,0.0560747663551401,0.0191629376151618,1,0,1,0.2603957760227172,0.3611111111111111,0.3333333333333333,2023,1,4,28,17,0.12,6,0,0,0,0,0,0,0,0,1,0
21,17967093812173801,0.0084279391956898,0.0046728971962616,0.0010529086601737,0,1,1,0.0,0.0,0.6666666666666666,2023,1,5,30,0,0.1413333333333333,1,1,0,0,1,0,0,0,0,0,0
20,17992413304683037,0.0075043294208197,0.0,0.0004211634640694,0,1,1,0.0,0.0,0.3333333333333333,2023,1,5,30,23,0.0773333333333333,1,1,0,0,1,0,0,0,0,0,0
19,17953920989387142,0.0166249759476621,0.0093457943925233,0.0051592524348512,0,1,1,0.2233738574851362,0.0,0.6666666666666666,2023,1,5,31,20,0.104,2,0,0,0,0,1,0,0,0,0,0
18,17937956984606893,0.011025591687512,0.0467289719626168,0.0018952355883127,0,1,1,0.0,0.0,0.3333333333333333,2023,2,5,1,19,0.08,3,1,0,0,0,0,1,0,0,0,0
17,17963736044213187,0.0159899942274389,0.0,0.0055804158989207,0,1,1,0.1647883574407667,0.1111111111111111,0.3333333333333333,2023,2,5,2,20,0.0746666666666666,4,0,0,0,0,0,0,1,0,0,0
16,17970805826111622,0.0117567827592842,0.0093457943925233,0.0004738088970781,0,1,1,0.1637234892182092,0.0,0.3333333333333333,2023,2,5,3,15,0.0586666666666666,5,0,0,0,0,0,0,0,1,0,0
15,17984509426738813,0.0233403886857802,0.0046728971962616,0.0050539615688339,1,0,1,0.2075605643801579,0.0555555555555555,0.3333333333333333,2023,2,5,4,22,0.0559999999999999,6,0,0,0,0,0,0,0,0,1,0
14,17946387941357341,0.0172022320569559,0.0233644859813084,0.001842590155304,0,1,1,0.2255390895376697,0.0833333333333333,0.3333333333333333,2023,2,5,5,20,0.1253333333333333,7,0,0,0,0,0,0,0,0,0,1
13,17975786464891509,0.0118145083702135,0.0233644859813084,0.0003685180310608,1,0,1,0.0,0.0,0.3333333333333333,2023,2,6,6,20,0.1413333333333333,1,1,0,0,1,0,0,0,0,0,0
12,18052987672382738,0.0154512218587646,0.014018691588785,0.0061068702290076,0,1,1,0.2540243144910817,0.1111111111111111,0.6666666666666666,2023,2,6,7,20,0.112,2,0,0,0,0,1,0,0,0,0,0
11,17940894521608155,0.0176832788147007,0.02803738317757,0.0022111081863648,0,1,1,0.0,0.0,0.3333333333333333,2023,2,6,8,22,0.0693333333333333,3,1,0,0,0,0,1,0,0,0,0
10,17941566833576328,0.0340196267077159,0.0700934579439252,0.0300078968149513,1,0,1,0.2953057059188925,0.2222222222222222,0.3333333333333333,2023,2,6,10,0,0.0826666666666666,5,0,0,0,0,0,0,0,1,0,0
9,17957082437460452,0.0188185491629786,0.0373831775700934,0.0070018425901553,0,1,1,0.2576093708403585,0.1111111111111111,0.3333333333333333,2023,2,6,10,17,0.104,5,0,0,0,0,0,0,0,1,0,0
8,17970104378130488,0.017375408889744,0.0093457943925233,0.009739405106607,0,1,1,0.0,0.0,0.3333333333333333,2023,2,6,11,23,0.064,6,1,0,0,0,0,0,0,0,1,0
7,17944740794397694,0.0210698479892245,0.0233644859813084,0.0039484074756514,1,0,1,0.2053775845239151,0.0277777777777777,0.3333333333333333,2023,2,7,13,3,0.1013333333333333,1,0,0,0,1,0,0,0,0,0,0
6,18002471692608206,0.0279007119492014,0.0046728971962616,0.0051066070018425,1,0,1,0.2303842399503061,0.2222222222222222,0.3333333333333333,2023,2,7,13,4,0.1493333333333333,1,0,0,0,1,0,0,0,0,0,0
