,id,post_id,likes,comments,shares,caption,contains_emoji,does_not_contain_emoji,contains_hashtag,Unnamed: 9,accounts_reached,timestamp,media_type,time_of_day,followers_gained,engagement_rate
318,19,18060779959479015,1537,3,38,"Everyone is home for break 🥲
#VivaLaYotes",False,True,True,,13335,2023-11-22T21:07:58+0000,IMAGE,night,0,0.11833520809898762
319,20,18020370355882395,1035,0,20,"9-2 to end the regular season. Great day to be a yote! 
#VivaLaYotes",False,True,True,,9460,2023-11-18T22:17:44+0000,IMAGE,night,3,0.11152219873150106
320,21,18204244729287331,771,0,6,"ITS FUCKING GAMEDAY AND WESTERN ILLINOIS IS 0-10 AND SHIT ‼️
#VivaLaYotes",True,False,True,,0,2023-11-18T15:15:29+0000,VIDEO,afternoon,0,inf
321,22,17978997494403629,1708,14,97,"Why does the char bathroom always get nuked 🤣
#VivaLaYotes",False,True,True,,14255,2023-11-16T22:02:18+0000,IMAGE,night,1,0.12760434935110487
322,23,18006041702286389,2180,18,189,Name a better town. I’ll wait. #VivaLaYotes,False,True,True,,15442,2023-11-15T19:19:36+0000,CAROUSEL_ALBUM,night,4,0.15457842248413417
323,24,18074627968421655,843,0,27,Joe always keepin it 💯 #TinderTuesday #VivaLaYotes,True,False,True,,10770,2023-11-14T23:27:51+0000,CAROUSEL_ALBUM,night,0,0.0807799442896936
324,25,17884492352901555,1182,0,65,"What a week. My body hurts.
#VivaLaYotes",False,True,True,,12691,2023-11-12T22:42:05+0000,CAROUSEL_ALBUM,night,0,0.09825860846269009
325,1,17879853389921034,2068,6,69,Buddy is definitely not passing his class #VivaLaYotes,False,True,True,,15408,2023-11-12T00:53:46+0000,CAROUSEL_ALBUM,night,0,0.13908359293873312
326,2,18010835747057662,1633,6,63,"LETS FUCKING GOOOOOO
#VivaLaYotes",False,True,True,,11365,2023-11-11T20:56:44+0000,IMAGE,night,3,0.1497580290365156
327,3,18001768796017979,723,0,6,ITS THE LAST TAILGATE. WAKE THE FUCK UP AND LETS RAGE ‼️‼️‼️,True,False,False,,0,2023-11-11T15:25:21+0000,VIDEO,afternoon,0,inf
328,4,17987956874262087,1235,18,575,"WHAT THE FUCK NOT THE DIRTY CHAR DANCE FLOOR JUICE
#VivaLaYotes",False,True,True,,0,2023-11-10T19:11:52+0000,VIDEO,night,0,inf
329,5,17899221260903220,1451,29,33,"Mayor of Vermillion needs impeached.
#VivaLaYotes",False,True,True,,14911,2023-11-10T02:35:55+0000,IMAGE,night,1,0.10146871437194017
330,6,17919848495730771,1108,7,64,These are getting out of hand 😭 #TinderTuesday #VivaLaYotes,True,False,True,,12985,2023-11-07T21:14:18+0000,CAROUSEL_ALBUM,night,0,0.0907970735463997
331,7,18020762719868959,1005,1,14,"Dude did not want to go to his 8 am this morning
#VivaLaYotes",False,True,True,,0,2023-11-07T18:29:25+0000,VIDEO,night,0,inf
332,8,18397637728006186,1082,2,42,"I don’t know how he didn’t stick to the floor
#VivaLaYotes",False,True,True,,0,2023-11-06T20:03:32+0000,VIDEO,night,0,inf
333,9,17993349221348892,472,1,14,"The muc started adding flies for extra protein 
#VivaLaYotes",False,True,True,,0,2023-11-05T19:08:33+0000,VIDEO,night,0,inf
334,10,18372711226069448,1423,3,10,"Coyotes win. Let’s finish out the rest of the season. 
#VivaLaYotes",False,True,True,,11376,2023-11-04T21:10:13+0000,IMAGE,night,0,0.12623066104078762
335,11,18037493116588227,812,0,16,"ITS GAMEDAY LETS FUCKING GO 
#VivaLaYotes",False,True,True,,0,2023-11-04T14:49:49+0000,VIDEO,afternoon,0,inf
336,12,17845524489091087,1304,5,302,"APPLYING TO LAW SCHOOL RIGHT FUCKING NOW #swiftie✨
#VivaLaYotes",True,False,True,,13963,2023-11-02T19:24:16+0000,IMAGE,night,3,0.11537635178686528
337,13,17849404095076591,1155,1,22,"Who’s the genius behind bringing inflatables to a tailgate while snowing
#VivaLaYotes",False,True,True,,0,2023-11-01T20:21:53+0000,VIDEO,night,0,inf
338,14,18023953768749985,1587,12,73,"He was him yesterday.
#VivaLaYotes",False,True,True,,0,2023-10-29T20:47:11+0000,VIDEO,night,0,inf
339,15,17989443038387178,1720,43,51,"Logging off for the night. Sad yotes fan. Very disappointed in our performance. We’ll be back. 
#VivaLaYotes",False,True,True,,14811,2023-10-28T20:40:34+0000,IMAGE,night,1,0.12247653770845993
340,16,18031393663719777,2180,35,266,"FUCK THE JACKRABBITS. Already got dead ones on the fields.
#VivaLaYotes",False,True,True,,0,2023-10-28T18:05:27+0000,VIDEO,night,0,inf
341,17,18008093288043017,1210,3,65,"THE BOB DROP IS GETTING BROUGHT OUT TODAY. FUCK STATE ‼️
#VivaLaYotes",True,False,True,,0,2023-10-28T14:31:49+0000,VIDEO,afternoon,0,inf
342,18,18043031692495797,1582,25,20,"You are a disgrace to barstool that’s how bad you guys are. BEST BARSTOOL IN THE STATE 👑
#VivaLaYotes @hobosbarstool",True,False,True,,15566,2023-10-27T16:10:29+0000,IMAGE,afternoon,3,0.10452267763073365
343,19,17997227288208045,1250,4,43,"I know it’s not Tuesday but DAMN he got bodied
#VivaLaYotes",False,True,True,,14878,2023-10-27T00:42:47+0000,IMAGE,night,0,0.08717569565801855
344,20,17997672299214957,1993,15,110,"Open up 😈
#VivaLaYotes",True,False,True,,15062,2023-10-26T19:13:23+0000,IMAGE,night,9,0.14061877572699508
345,21,17910346457835296,1220,11,80,"No surprise here. Shit eaters. FUCK STATE ‼️
#VivaLaYotes",True,False,True,,14958,2023-10-25T17:51:52+0000,IMAGE,night,0,0.08764540713999197
346,22,17889117467865002,1631,17,18,"We asked an AI generator what campus would look like in 1000 years. What’re your thoughts? 
#VivaLaYotes",False,True,True,,16137,2023-10-25T00:00:00+0000,IMAGE,night,0,0.10324099894652042
347,23,17985826223265994,1452,19,202,"@hobosbarstool you guys gonna say anything this week or be the shitty inactive barstool account that you are?
#VivaLaYotes",False,True,True,,0,2023-10-24T16:39:12+0000,VIDEO,afternoon,0,inf
348,24,18238555021211565,4481,160,860,"Calm before the storm. We’re coming.
#VivaLaYotes",False,True,True,,0,2023-10-23T16:41:45+0000,VIDEO,afternoon,0,inf
349,25,17989411562457415,1636,4,38,"I hope the 12 disciples went to hollarr this weekend
#VivaLaYotes",False,True,True,,0,2023-10-22T22:19:13+0000,VIDEO,night,0,inf
350,1,18022006726774667,1118,2,24,"ITS GAMEDAY
#VivaLaYotes",False,True,True,,0,2023-10-21T13:57:06+0000,VIDEO,afternoon,0,inf
351,2,17910672518831416,1174,0,72,"Okay now these people are just showing off their horses at this point 
#VivaLaYotes",False,True,True,,0,2023-10-20T22:04:05+0000,VIDEO,night,0,inf
352,3,17884879838946875,1922,85,121,"We all know what happened the last time SDSU came to town. Now @collegegameday needs to experience this rivalry. Cant wait to see you announce Vermillion as the location tomorrow 😏
#VivaLaYotes #GamedaytoVermillion",True,False,True,,0,2023-10-20T16:56:48+0000,VIDEO,afternoon,0,inf
